,origin_station,destination_station,AMpeak_trips,PMpeak_trips,o_lat,o_lon,d_lat,d_lon
157,Finchley Road,Angel,13,13,51.5470961986729,-0.180050560513333,51.53296801568911,-0.10558144894639801
158,Finsbury Park,Angel,9,0,51.5646354455769,-0.10588148617519001,51.53296801568911,-0.10558144894639801
159,Fulham Broadway,Angel,44,0,51.480260903539104,-0.19554416374798997,51.53296801568911,-0.10558144894639801
160,Gants Hill,Angel,16,1,51.5765529520727,0.0660840978012218,51.53296801568911,-0.10558144894639801
161,Gloucester Road,Angel,23,29,51.4944995577167,-0.18354355952647697,51.53296801568911,-0.10558144894639801
162,Golders Green,Angel,228,16,51.57221553323521,-0.194834559142163,51.53296801568911,-0.10558144894639801
163,Goldhawk Road,Angel,15,4,51.502076966571295,-0.227404006254784,51.53296801568911,-0.10558144894639801
164,Goodge Street,Angel,2,90,51.52061310945721,-0.13480769016588698,51.53296801568911,-0.10558144894639801
165,Great Portland Street,Angel,0,4,51.5237887958946,-0.14396142528077602,51.53296801568911,-0.10558144894639801
166,Green Park,Angel,11,76,51.506760484493896,-0.14247757559748198,51.53296801568911,-0.10558144894639801
167,Hampstead,Angel,41,2,51.5565425953294,-0.17801455994679802,51.53296801568911,-0.10558144894639801
168,Hanger Lane,Angel,0,16,51.5300720336304,-0.29299614555526504,51.53296801568911,-0.10558144894639801
169,Harlesden,Angel,23,0,51.5362583277376,-0.257495674234359,51.53296801568911,-0.10558144894639801
170,Harrow-on-the-Hill,Angel,20,0,51.5793881186851,-0.33700151732302597,51.53296801568911,-0.10558144894639801
171,Hendon Central,Angel,87,112,51.583133046747704,-0.226734140088258,51.53296801568911,-0.10558144894639801
172,High Barnet,Angel,36,46,51.6516882533421,-0.194165380168301,51.53296801568911,-0.10558144894639801
173,High Street Kensington,Angel,0,32,51.5007294453891,-0.19156605762672196,51.53296801568911,-0.10558144894639801
174,Highgate,Angel,83,70,51.5776466172769,-0.14693486218376503,51.53296801568911,-0.10558144894639801
175,Hillingdon,Angel,14,0,51.55377751590571,-0.449897993430179,51.53296801568911,-0.10558144894639801
176,Holborn,Angel,3,40,51.51723573506929,-0.11984050743238,51.53296801568911,-0.10558144894639801
177,Hounslow Central,Angel,30,0,51.470925765892105,-0.36595812917284204,51.53296801568911,-0.10558144894639801
178,Hounslow East,Angel,1,0,51.47370789438,-0.35527532185487004,51.53296801568911,-0.10558144894639801
179,Hyde Park Corner,Angel,1,10,51.502584012708205,-0.15247411397848998,51.53296801568911,-0.10558144894639801
180,Kennington,Angel,72,36,51.488662458334105,-0.10507061341036901,51.53296801568911,-0.10558144894639801
181,Kensal Green,Angel,13,0,51.53052421415789,-0.224713384073025,51.53296801568911,-0.10558144894639801
182,Kentish Town,Angel,62,73,51.55000952169021,-0.140471263842415,51.53296801568911,-0.10558144894639801
183,Kingsbury,Angel,1,0,51.58487651699329,-0.278601608230903,51.53296801568911,-0.10558144894639801
