,origin_code,origin_station,destination_code,destination_station,AMpeak_trips,PMpeak_trips
3390,525,Borough                       ,548,Clapham North                 ,24,87
3391,525,Borough                       ,549,Clapham South                 ,62,50
3392,525,Borough                       ,550,Cockfosters                   ,0,2
3393,525,Borough                       ,551,Colindale                     ,0,25
3394,525,Borough                       ,552,Colliers Wood                 ,0,4
3395,525,Borough                       ,553,Covent Garden                 ,2,9
3396,525,Borough                       ,555,Dagenham East                 ,0,6
3397,525,Borough                       ,560,Ealing Broadway               ,4,29
3398,525,Borough                       ,563,East Acton                    ,0,8
3399,525,Borough                       ,565,East Finchley                 ,0,24
3400,525,Borough                       ,566,East Ham                      ,0,7
3401,525,Borough                       ,568,Edgware                       ,9,0
3402,525,Borough                       ,774,Edgware Road (Bak)            ,11,0
3403,525,Borough                       ,570,Elephant & Castle             ,6,0
3404,525,Borough                       ,542,Embankment                    ,14,0
3405,525,Borough                       ,574,Euston                        ,74,326
3407,525,Borough                       ,577,Farringdon                    ,20,65
3408,525,Borough                       ,578,Finchley Central              ,34,17
3409,525,Borough                       ,580,Finsbury Park                 ,0,37
3411,525,Borough                       ,584,Golders Green                 ,8,7
3412,525,Borough                       ,586,Goodge Street                 ,18,9
3413,525,Borough                       ,590,Green Park                    ,14,0
3414,525,Borough                       ,589,Greenford                     ,4,0
3415,525,Borough                       ,592,Hainault                      ,0,65
3416,525,Borough                       ,594,Hampstead                     ,0,6
3417,525,Borough                       ,597,Harrow & Wealdstone           ,0,1
3418,525,Borough                       ,598,Harrow-on-the-Hill            ,0,4
3419,525,Borough                       ,601,Hendon Central                ,0,54
3420,525,Borough                       ,602,High Barnet                   ,0,3
3422,525,Borough                       ,603,Highbury & Islington          ,0,56
3423,525,Borough                       ,604,Highgate                      ,0,60
3425,525,Borough                       ,608,Holland Park                  ,1,0
3426,525,Borough                       ,609,Holloway Road                 ,15,8
3427,525,Borough                       ,616,Kennington                    ,0,34
3428,525,Borough                       ,619,Kentish Town                  ,0,12
3429,525,Borough                       ,621,Kew Gardens                   ,13,0
3432,525,Borough                       ,625,King's Cross St. Pancras      ,56,233
3433,525,Borough                       ,626,Knightsbridge                 ,0,6
3434,525,Borough                       ,630,Latimer Road                  ,6,0
3435,525,Borough                       ,631,Leicester Square              ,15,0
3437,525,Borough                       ,633,Leytonstone                   ,0,3
3438,525,Borough                       ,634,Liverpool Street              ,16,68
3439,525,Borough                       ,635,London Bridge                 ,9,41
3441,525,Borough                       ,638,Manor House                   ,0,15
3442,525,Borough                       ,641,Marylebone                    ,10,3
3443,525,Borough                       ,642,Mile End                      ,0,15
3444,525,Borough                       ,643,Mill Hill East                ,0,12
3445,525,Borough                       ,645,Moorgate                      ,231,19
3446,525,Borough                       ,647,Morden                        ,0,143
3447,525,Borough                       ,648,Mornington Crescent           ,4,0
3448,525,Borough                       ,650,Newbury Park                  ,0,32
3449,525,Borough                       ,653,North Acton                   ,0,1
3450,525,Borough                       ,654,North Ealing                  ,0,1
3452,525,Borough                       ,657,Northolt                      ,0,15
3453,525,Borough                       ,665,Old Street                    ,102,82
3454,525,Borough                       ,668,Oval                          ,14,37
3455,525,Borough                       ,669,Oxford Circus                 ,75,0
3456,525,Borough                       ,670,Paddington                    ,15,126
3458,525,Borough                       ,674,Piccadilly Circus             ,33,0
3459,525,Borough                       ,776,Pimlico                       ,19,19
3460,525,Borough                       ,678,Putney Bridge                 ,0,4
3461,525,Borough                       ,681,Queensway                     ,5,0
3462,525,Borough                       ,683,Rayners Lane                  ,0,1
3464,525,Borough                       ,685,Regent's Park                 ,6,0
3465,525,Borough                       ,694,Russell Square                ,4,5
3466,525,Borough                       ,698,Seven Sisters                 ,0,20
3467,525,Borough                       ,700,Shepherd's Bush (Cen)         ,3,14
3468,525,Borough                       ,702,Sloane Square                 ,5,0
3469,525,Borough                       ,707,South Harrow                  ,0,2
3470,525,Borough                       ,708,South Kensington              ,7,8
3471,525,Borough                       ,711,South Wimbledon               ,0,52
3472,525,Borough                       ,712,South Woodford                ,0,42
3473,525,Borough                       ,705,Southfields                   ,0,3
3474,525,Borough                       ,706,Southgate                     ,0,6
3475,525,Borough                       ,695,St. James's Park              ,3,0
3478,525,Borough                       ,716,Stockwell                     ,14,63
3479,525,Borough                       ,719,Stratford                     ,10,368
3481,525,Borough                       ,724,Temple                        ,29,0
3482,525,Borough                       ,726,Tooting Bec                   ,0,7
3483,525,Borough                       ,727,Tooting Broadway              ,0,199
3484,525,Borough                       ,728,Tottenham Court Road          ,38,34
3486,525,Borough                       ,735,Turnpike Lane                 ,13,9
3488,525,Borough                       ,739,Upton Park                    ,0,20
3489,525,Borough                       ,740,Uxbridge                      ,0,10
3490,525,Borough                       ,777,Vauxhall                      ,0,16
3491,525,Borough                       ,741,Victoria                      ,38,0
3492,525,Borough                       ,742,Walthamstow Central           ,18,101
3493,525,Borough                       ,745,Warren Street                 ,14,3
3494,525,Borough                       ,747,Waterloo                      ,17,52
3496,525,Borough                       ,760,West Kensington               ,0,4
3497,525,Borough                       ,761,Westminster                   ,8,0
3498,525,Borough                       ,764,White City                    ,5,0
3502,526,Boston Manor                  ,500,Acton Town                    ,119,0
3503,526,Boston Manor                  ,507,Angel                         ,10,0
3506,526,Boston Manor                  ,513,Bank / Monument               ,11,0
3507,526,Boston Manor                  ,514,Barking                       ,0,88
3508,526,Boston Manor                  ,516,Barons Court                  ,41,0
3510,526,Boston Manor                  ,521,Blackfriars                   ,24,0
3511,526,Boston Manor                  ,524,Bond Street                   ,27,0
3515,526,Boston Manor                  ,541,Chancery Lane                 ,14,0
3516,526,Boston Manor                  ,553,Covent Garden                 ,56,0
3518,526,Boston Manor                  ,562,Earl's Court                  ,42,0
3520,526,Boston Manor                  ,570,Elephant & Castle             ,0,27
3521,526,Boston Manor                  ,542,Embankment                    ,1,40
3522,526,Boston Manor                  ,572,Epping                        ,2,0
3523,526,Boston Manor                  ,574,Euston                        ,0,1
3525,526,Boston Manor                  ,580,Finsbury Park                 ,0,57
3526,526,Boston Manor                  ,583,Gloucester Road               ,52,49
3528,526,Boston Manor                  ,590,Green Park                    ,30,0
3529,526,Boston Manor                  ,593,Hammersmith (Dis)             ,156,40
3530,526,Boston Manor                  ,779,Hatton Cross                  ,14,98
3531,526,Boston Manor                  ,783,Heathrow Terminal 5           ,0,73
3532,526,Boston Manor                  ,780,Heathrow Terminals 123        ,113,0
3534,526,Boston Manor                  ,607,Holborn                       ,87,0
3535,526,Boston Manor                  ,611,Hounslow Central              ,32,0
3536,526,Boston Manor                  ,612,Hounslow East                 ,51,0
3538,526,Boston Manor                  ,614,Hyde Park Corner              ,119,0
3539,526,Boston Manor                  ,625,King's Cross St. Pancras      ,53,5
3540,526,Boston Manor                  ,626,Knightsbridge                 ,39,0
3542,526,Boston Manor                  ,631,Leicester Square              ,0,30
3543,526,Boston Manor                  ,634,Liverpool Street              ,8,0
3544,526,Boston Manor                  ,635,London Bridge                 ,8,0
3548,526,Boston Manor                  ,641,Marylebone                    ,11,0
3549,526,Boston Manor                  ,642,Mile End                      ,23,0
3552,526,Boston Manor                  ,665,Old Street                    ,21,0
3553,526,Boston Manor                  ,667,Osterley                      ,1,0
3554,526,Boston Manor                  ,669,Oxford Circus                 ,75,0
3556,526,Boston Manor                  ,672,Parsons Green                 ,0,41
3557,526,Boston Manor                  ,674,Piccadilly Circus             ,22,0
3558,526,Boston Manor                  ,776,Pimlico                       ,16,0
3559,526,Boston Manor                  ,678,Putney Bridge                 ,31,0
3560,526,Boston Manor                  ,682,Ravenscourt Park              ,18,0
3561,526,Boston Manor                  ,683,Rayners Lane                  ,0,12
3562,526,Boston Manor                  ,685,Regent's Park                 ,9,0
3563,526,Boston Manor                  ,694,Russell Square                ,5,12
3564,526,Boston Manor                  ,702,Sloane Square                 ,0,33
3566,526,Boston Manor                  ,708,South Kensington              ,38,76
3568,526,Boston Manor                  ,695,St. James's Park              ,32,0
3569,526,Boston Manor                  ,697,St. Paul's                    ,16,0
3570,526,Boston Manor                  ,724,Temple                        ,13,0
3572,526,Boston Manor                  ,731,Tower Hill                    ,21,0
3573,526,Boston Manor                  ,734,Turnham Green                 ,0,17
3574,526,Boston Manor                  ,777,Vauxhall                      ,17,0
3575,526,Boston Manor                  ,741,Victoria                      ,0,16
3576,526,Boston Manor                  ,745,Warren Street                 ,24,0
3577,526,Boston Manor                  ,746,Warwick Avenue                ,0,5
3578,526,Boston Manor                  ,747,Waterloo                      ,34,78
3579,526,Boston Manor                  ,759,West Harrow                   ,0,24
3580,526,Boston Manor                  ,754,Westbourne Park               ,5,0
3581,526,Boston Manor                  ,761,Westminster                   ,39,0
3582,526,Boston Manor                  ,763,Whitechapel                   ,9,0
3583,526,Boston Manor                  ,767,Wimbledon                     ,12,0
3584,526,Boston Manor                  ,770,Wood Green                    ,41,0
3586,527,Bounds Green                  ,502,Aldgate                       ,21,0
3587,527,Bounds Green                  ,507,Angel                         ,85,0
3588,527,Bounds Green                  ,509,Arnos Grove                   ,36,0
3590,527,Bounds Green                  ,511,Baker Street                  ,61,15
3591,527,Bounds Green                  ,513,Bank / Monument               ,137,0
3592,527,Bounds Green                  ,501,Barbican                      ,35,38
3593,527,Bounds Green                  ,514,Barking                       ,0,25
3596,527,Bounds Green                  ,519,Belsize Park                  ,10,0
3597,527,Bounds Green                  ,787,Bermondsey                    ,46,0
3598,527,Bounds Green                  ,521,Blackfriars                   ,25,0
3599,527,Bounds Green                  ,522,Blackhorse Road               ,0,201
3600,527,Bounds Green                  ,524,Bond Street                   ,18,5
3601,527,Bounds Green                  ,778,Brixton                       ,0,9
3603,527,Bounds Green                  ,534,Caledonian Road               ,77,0
3604,527,Bounds Green                  ,535,Camden Town                   ,31,0
3605,527,Bounds Green                  ,852,Canary Wharf                  ,55,0
3607,527,Bounds Green                  ,541,Chancery Lane                 ,31,0
3608,527,Bounds Green                  ,547,Clapham Common                ,4,37
3609,527,Bounds Green                  ,548,Clapham North                 ,14,0
3610,527,Bounds Green                  ,550,Cockfosters                   ,5,0
3611,527,Bounds Green                  ,553,Covent Garden                 ,154,3
3613,527,Bounds Green                  ,566,East Ham                      ,34,0
3614,527,Bounds Green                  ,568,Edgware                       ,8,0
3615,527,Bounds Green                  ,569,Edgware Road (Cir)            ,38,0
3616,527,Bounds Green                  ,570,Elephant & Castle             ,23,0
3617,527,Bounds Green                  ,574,Euston                        ,119,0
3618,527,Bounds Green                  ,575,Euston Square                 ,31,0
3619,527,Bounds Green                  ,577,Farringdon                    ,10,0
3620,527,Bounds Green                  ,580,Finsbury Park                 ,57,105
3621,527,Bounds Green                  ,581,Fulham Broadway               ,11,0
3622,527,Bounds Green                  ,583,Gloucester Road               ,34,0
3624,527,Bounds Green                  ,588,Great Portland Street         ,25,0
3625,527,Bounds Green                  ,590,Green Park                    ,132,104
3626,527,Bounds Green                  ,589,Greenford                     ,12,0
3627,527,Bounds Green                  ,593,Hammersmith (Dis)             ,94,0
3628,527,Bounds Green                  ,594,Hampstead                     ,20,0
3629,527,Bounds Green                  ,598,Harrow-on-the-Hill            ,11,0
3631,527,Bounds Green                  ,780,Heathrow Terminals 123        ,7,0
3633,527,Bounds Green                  ,605,High Street Kensington        ,25,0
3634,527,Bounds Green                  ,603,Highbury & Islington          ,147,90
3635,527,Bounds Green                  ,607,Holborn                       ,299,11
3636,527,Bounds Green                  ,609,Holloway Road                 ,63,0
3637,527,Bounds Green                  ,614,Hyde Park Corner              ,48,0
3638,527,Bounds Green                  ,616,Kennington                    ,29,0
3639,527,Bounds Green                  ,619,Kentish Town                  ,8,0
3640,527,Bounds Green                  ,625,King's Cross St. Pancras      ,273,35
3641,527,Bounds Green                  ,626,Knightsbridge                 ,26,0
3642,527,Bounds Green                  ,627,Ladbroke Grove                ,5,0
3643,527,Bounds Green                  ,628,Lambeth North                 ,5,0
3644,527,Bounds Green                  ,631,Leicester Square              ,11,8
3645,527,Bounds Green                  ,634,Liverpool Street              ,126,0
3646,527,Bounds Green                  ,635,London Bridge                 ,78,0
3647,527,Bounds Green                  ,638,Manor House                   ,8,21
3648,527,Bounds Green                  ,639,Mansion House                 ,5,0
3649,527,Bounds Green                  ,640,Marble Arch                   ,0,32
3650,527,Bounds Green                  ,641,Marylebone                    ,46,0
3651,527,Bounds Green                  ,642,Mile End                      ,50,0
3652,527,Bounds Green                  ,645,Moorgate                      ,25,0
3653,527,Bounds Green                  ,654,North Ealing                  ,0,7
3654,527,Bounds Green                  ,789,North Greenwich               ,0,52
3655,527,Bounds Green                  ,664,Oakwood                       ,0,40
3656,527,Bounds Green                  ,665,Old Street                    ,20,0
3657,527,Bounds Green                  ,669,Oxford Circus                 ,355,6
3658,527,Bounds Green                  ,670,Paddington                    ,130,0
3659,527,Bounds Green                  ,674,Piccadilly Circus             ,165,189
3660,527,Bounds Green                  ,776,Pimlico                       ,73,0
3661,527,Bounds Green                  ,678,Putney Bridge                 ,0,8
3662,527,Bounds Green                  ,682,Ravenscourt Park              ,5,0
3663,527,Bounds Green                  ,685,Regent's Park                 ,5,0
3664,527,Bounds Green                  ,694,Russell Square                ,198,0
3665,527,Bounds Green                  ,700,Shepherd's Bush (Cen)         ,49,0
3666,527,Bounds Green                  ,702,Sloane Square                 ,40,0
3667,527,Bounds Green                  ,708,South Kensington              ,47,0
3668,527,Bounds Green                  ,705,Southfields                   ,0,9
3669,527,Bounds Green                  ,706,Southgate                     ,12,68
3670,527,Bounds Green                  ,784,Southwark                     ,40,0
3671,527,Bounds Green                  ,695,St. James's Park              ,30,0
3672,527,Bounds Green                  ,697,St. Paul's                    ,19,0
3673,527,Bounds Green                  ,716,Stockwell                     ,9,0
3674,527,Bounds Green                  ,719,Stratford                     ,27,0
3675,527,Bounds Green                  ,727,Tooting Broadway              ,11,0
3676,527,Bounds Green                  ,728,Tottenham Court Road          ,13,0
3679,527,Bounds Green                  ,734,Turnham Green                 ,17,0
3680,527,Bounds Green                  ,735,Turnpike Lane                 ,92,36
3681,527,Bounds Green                  ,777,Vauxhall                      ,18,0
3682,527,Bounds Green                  ,741,Victoria                      ,334,18
3683,527,Bounds Green                  ,745,Warren Street                 ,105,0
3684,527,Bounds Green                  ,747,Waterloo                      ,78,57
3685,527,Bounds Green                  ,752,Wembley Park                  ,29,1
3686,527,Bounds Green                  ,757,West Ham                      ,2,0
3687,527,Bounds Green                  ,761,Westminster                   ,28,0
3688,527,Bounds Green                  ,764,White City                    ,62,13
3690,527,Bounds Green                  ,770,Wood Green                    ,0,15
3691,527,Bounds Green                  ,599,Wood Lane                     ,0,94
3692,528,Bow Road                      ,503,Aldgate East                  ,117,12
3694,528,Bow Road                      ,507,Angel                         ,54,5
3695,528,Bow Road                      ,509,Arnos Grove                   ,0,11
3696,528,Bow Road                      ,511,Baker Street                  ,53,52
3697,528,Bow Road                      ,512,Balham                        ,3,0
3698,528,Bow Road                      ,513,Bank / Monument               ,185,7
3699,528,Bow Road                      ,501,Barbican                      ,79,16
3700,528,Bow Road                      ,514,Barking                       ,140,35
3704,528,Bow Road                      ,520,Bethnal Green                 ,13,0
3705,528,Bow Road                      ,521,Blackfriars                   ,26,21
3706,528,Bow Road                      ,524,Bond Street                   ,8,0
3707,528,Bow Road                      ,525,Borough                       ,16,0
3708,528,Bow Road                      ,527,Bounds Green                  ,0,7
3709,528,Bow Road                      ,529,Brent Cross                   ,24,0
3710,528,Bow Road                      ,778,Brixton                       ,0,11
3711,528,Bow Road                      ,530,Bromley-by-Bow                ,4,0
3712,528,Bow Road                      ,531,Buckhurst Hill                ,0,12
3713,528,Bow Road                      ,532,Burnt Oak                     ,0,9
3714,528,Bow Road                      ,535,Camden Town                   ,2,0
3718,528,Bow Road                      ,536,Cannon Street                 ,55,1
3719,528,Bow Road                      ,541,Chancery Lane                 ,108,16
3721,528,Bow Road                      ,545,Chiswick Park                 ,3,0
3722,528,Bow Road                      ,547,Clapham Common                ,6,0
3725,528,Bow Road                      ,553,Covent Garden                 ,10,0
3727,528,Bow Road                      ,556,Dagenham Heathway             ,20,2
3728,528,Bow Road                      ,557,Debden                        ,35,0
3730,528,Bow Road                      ,562,Earl's Court                  ,10,0
3731,528,Bow Road                      ,566,East Ham                      ,13,82
3732,528,Bow Road                      ,567,East Putney                   ,0,13
3733,528,Bow Road                      ,568,Edgware                       ,11,0
3734,528,Bow Road                      ,569,Edgware Road (Cir)            ,17,0
3736,528,Bow Road                      ,571,Elm Park                      ,0,4
3737,528,Bow Road                      ,542,Embankment                    ,43,1
3738,528,Bow Road                      ,575,Euston Square                 ,23,0
3739,528,Bow Road                      ,577,Farringdon                    ,57,0
3741,528,Bow Road                      ,580,Finsbury Park                 ,0,7
3742,528,Bow Road                      ,581,Fulham Broadway               ,10,0
3743,528,Bow Road                      ,586,Goodge Street                 ,3,0
3744,528,Bow Road                      ,588,Great Portland Street         ,31,0
3745,528,Bow Road                      ,590,Green Park                    ,8,0
3748,528,Bow Road                      ,593,Hammersmith (Dis)             ,19,6
3749,528,Bow Road                      ,773,Hammersmith (H&C)             ,9,0
3750,528,Bow Road                      ,595,Hanger Lane                   ,15,0
3751,528,Bow Road                      ,781,Heathrow Terminal 4           ,0,45
3752,528,Bow Road                      ,780,Heathrow Terminals 123        ,0,6
3753,528,Bow Road                      ,601,Hendon Central                ,2,4
3754,528,Bow Road                      ,603,Highbury & Islington          ,0,5
3755,528,Bow Road                      ,607,Holborn                       ,204,11
3756,528,Bow Road                      ,609,Holloway Road                 ,21,0
3758,528,Bow Road                      ,614,Hyde Park Corner              ,0,37
3759,528,Bow Road                      ,625,King's Cross St. Pancras      ,135,0
3760,528,Bow Road                      ,626,Knightsbridge                 ,7,0
3761,528,Bow Road                      ,628,Lambeth North                 ,1,0
3762,528,Bow Road                      ,629,Lancaster Gate                ,24,0
3763,528,Bow Road                      ,630,Latimer Road                  ,1,0
3764,528,Bow Road                      ,632,Leyton                        ,0,17
3765,528,Bow Road                      ,634,Liverpool Street              ,194,65
3766,528,Bow Road                      ,635,London Bridge                 ,26,0
3768,528,Bow Road                      ,639,Mansion House                 ,13,0
3769,528,Bow Road                      ,640,Marble Arch                   ,76,0
3770,528,Bow Road                      ,641,Marylebone                    ,100,6
3771,528,Bow Road                      ,642,Mile End                      ,1,66
3772,528,Bow Road                      ,643,Mill Hill East                ,3,0
3773,528,Bow Road                      ,645,Moorgate                      ,4,0
3775,528,Bow Road                      ,789,North Greenwich               ,0,44
3777,528,Bow Road                      ,660,Northwick Park                ,10,0
3778,528,Bow Road                      ,663,Notting Hill Gate             ,0,11
3779,528,Bow Road                      ,665,Old Street                    ,8,0
3780,528,Bow Road                      ,668,Oval                          ,0,5
3781,528,Bow Road                      ,669,Oxford Circus                 ,223,81
3782,528,Bow Road                      ,670,Paddington                    ,35,0
3783,528,Bow Road                      ,672,Parsons Green                 ,0,2
3784,528,Bow Road                      ,673,Perivale                      ,0,46
3785,528,Bow Road                      ,674,Piccadilly Circus             ,28,0
3786,528,Bow Road                      ,776,Pimlico                       ,10,0
3787,528,Bow Road                      ,675,Pinner                        ,0,15
3788,528,Bow Road                      ,676,Plaistow                      ,7,2
3791,528,Bow Road                      ,682,Ravenscourt Park              ,9,0
3792,528,Bow Road                      ,686,Richmond                      ,0,1
3793,528,Bow Road                      ,690,Royal Oak                     ,5,0
3794,528,Bow Road                      ,694,Russell Square                ,7,0
3796,528,Bow Road                      ,700,Shepherd's Bush (Cen)         ,20,0
3798,528,Bow Road                      ,702,Sloane Square                 ,8,0
3799,528,Bow Road                      ,703,Snaresbrook                   ,23,0
3800,528,Bow Road                      ,708,South Kensington              ,29,0
3801,528,Bow Road                      ,709,South Kenton                  ,1,0
3803,528,Bow Road                      ,695,St. James's Park              ,31,24
3804,528,Bow Road                      ,697,St. Paul's                    ,68,0
3806,528,Bow Road                      ,719,Stratford                     ,7,4
3807,528,Bow Road                      ,723,Swiss Cottage                 ,1,0
3808,528,Bow Road                      ,724,Temple                        ,20,0
3809,528,Bow Road                      ,728,Tottenham Court Road          ,215,51
3810,528,Bow Road                      ,729,Tottenham Hale                ,0,43
3811,528,Bow Road                      ,731,Tower Hill                    ,16,2
3812,528,Bow Road                      ,733,Tufnell Park                  ,8,0
3813,528,Bow Road                      ,736,Upminster                     ,0,17
3815,528,Bow Road                      ,738,Upney                         ,12,0
3818,528,Bow Road                      ,777,Vauxhall                      ,19,0
3819,528,Bow Road                      ,741,Victoria                      ,10,34
3820,528,Bow Road                      ,747,Waterloo                      ,6,1
3821,528,Bow Road                      ,752,Wembley Park                  ,20,0
3822,528,Bow Road                      ,757,West Ham                      ,80,0
3823,528,Bow Road                      ,760,West Kensington               ,2,1
3824,528,Bow Road                      ,754,Westbourne Park               ,18,0
3825,528,Bow Road                      ,761,Westminster                   ,4,1
3826,528,Bow Road                      ,763,Whitechapel                   ,1077,438
3831,529,Brent Cross                   ,500,Acton Town                    ,0,10
3832,529,Brent Cross                   ,502,Aldgate                       ,24,0
3833,529,Brent Cross                   ,503,Aldgate East                  ,5,0
3834,529,Brent Cross                   ,507,Angel                         ,30,10
3835,529,Brent Cross                   ,508,Archway                       ,49,0
3837,529,Brent Cross                   ,512,Balham                        ,0,9
3838,529,Brent Cross                   ,513,Bank / Monument               ,131,15
3839,529,Brent Cross                   ,501,Barbican                      ,1,0
3840,529,Brent Cross                   ,514,Barking                       ,0,3
3841,529,Brent Cross                   ,519,Belsize Park                  ,39,27
3843,529,Brent Cross                   ,521,Blackfriars                   ,39,0
3844,529,Brent Cross                   ,524,Bond Street                   ,7,0
3845,529,Brent Cross                   ,525,Borough                       ,15,0
3846,529,Brent Cross                   ,778,Brixton                       ,1,0
3847,529,Brent Cross                   ,530,Bromley-by-Bow                ,0,6
3848,529,Brent Cross                   ,532,Burnt Oak                     ,74,24
3850,529,Brent Cross                   ,535,Camden Town                   ,91,0
3851,529,Brent Cross                   ,852,Canary Wharf                  ,3,0
3852,529,Brent Cross                   ,536,Cannon Street                 ,9,0
3853,529,Brent Cross                   ,540,Chalk Farm                    ,26,56
3854,529,Brent Cross                   ,541,Chancery Lane                 ,48,0
3855,529,Brent Cross                   ,718,Charing Cross                 ,23,15
3857,529,Brent Cross                   ,551,Colindale                     ,26,16
3860,529,Brent Cross                   ,567,East Putney                   ,11,0
3861,529,Brent Cross                   ,568,Edgware                       ,26,20
3863,529,Brent Cross                   ,570,Elephant & Castle             ,56,7
3864,529,Brent Cross                   ,542,Embankment                    ,12,0
3865,529,Brent Cross                   ,574,Euston                        ,42,70
3866,529,Brent Cross                   ,577,Farringdon                    ,24,0
3867,529,Brent Cross                   ,580,Finsbury Park                 ,8,0
3868,529,Brent Cross                   ,581,Fulham Broadway               ,0,16
3869,529,Brent Cross                   ,583,Gloucester Road               ,0,26
3870,529,Brent Cross                   ,584,Golders Green                 ,0,11
3871,529,Brent Cross                   ,586,Goodge Street                 ,33,3
3872,529,Brent Cross                   ,590,Green Park                    ,14,1
3873,529,Brent Cross                   ,594,Hampstead                     ,15,7
3874,529,Brent Cross                   ,601,Hendon Central                ,17,25
3876,529,Brent Cross                   ,603,Highbury & Islington          ,4,0
3877,529,Brent Cross                   ,607,Holborn                       ,12,16
3879,529,Brent Cross                   ,611,Hounslow Central              ,34,0
3881,529,Brent Cross                   ,625,King's Cross St. Pancras      ,20,10
3882,529,Brent Cross                   ,626,Knightsbridge                 ,36,0
3884,529,Brent Cross                   ,631,Leicester Square              ,11,11
3885,529,Brent Cross                   ,634,Liverpool Street              ,17,29
3886,529,Brent Cross                   ,635,London Bridge                 ,27,20
3888,529,Brent Cross                   ,640,Marble Arch                   ,3,20
3889,529,Brent Cross                   ,641,Marylebone                    ,37,0
3890,529,Brent Cross                   ,642,Mile End                      ,4,0
3891,529,Brent Cross                   ,645,Moorgate                      ,47,4
3892,529,Brent Cross                   ,648,Mornington Crescent           ,39,0
3893,529,Brent Cross                   ,653,North Acton                   ,9,0
3894,529,Brent Cross                   ,663,Notting Hill Gate             ,1,0
3895,529,Brent Cross                   ,665,Old Street                    ,30,3
3896,529,Brent Cross                   ,668,Oval                          ,0,27
3897,529,Brent Cross                   ,669,Oxford Circus                 ,36,0
3898,529,Brent Cross                   ,670,Paddington                    ,3,0
3899,529,Brent Cross                   ,674,Piccadilly Circus             ,0,18
3900,529,Brent Cross                   ,776,Pimlico                       ,1,0
3902,529,Brent Cross                   ,694,Russell Square                ,5,5
3903,529,Brent Cross                   ,698,Seven Sisters                 ,0,15
3904,529,Brent Cross                   ,708,South Kensington              ,6,16
3905,529,Brent Cross                   ,711,South Wimbledon               ,8,4
3906,529,Brent Cross                   ,712,South Woodford                ,0,39
3908,529,Brent Cross                   ,695,St. James's Park              ,16,0
3909,529,Brent Cross                   ,697,St. Paul's                    ,3,5
3910,529,Brent Cross                   ,713,Stamford Brook                ,5,0
3911,529,Brent Cross                   ,716,Stockwell                     ,0,32
3912,529,Brent Cross                   ,719,Stratford                     ,2,0
3913,529,Brent Cross                   ,724,Temple                        ,19,15
3914,529,Brent Cross                   ,726,Tooting Bec                   ,10,2
3915,529,Brent Cross                   ,728,Tottenham Court Road          ,63,0
3916,529,Brent Cross                   ,731,Tower Hill                    ,10,0
3917,529,Brent Cross                   ,733,Tufnell Park                  ,0,4
3918,529,Brent Cross                   ,777,Vauxhall                      ,9,12
3919,529,Brent Cross                   ,741,Victoria                      ,26,6
3920,529,Brent Cross                   ,742,Walthamstow Central           ,2,15
3921,529,Brent Cross                   ,743,Wanstead                      ,0,21
3922,529,Brent Cross                   ,745,Warren Street                 ,51,0
3923,529,Brent Cross                   ,747,Waterloo                      ,23,0
3926,529,Brent Cross                   ,761,Westminster                   ,1,0
3928,778,Brixton                       ,500,Acton Town                    ,43,8
3929,778,Brixton                       ,502,Aldgate                       ,34,0
3930,778,Brixton                       ,503,Aldgate East                  ,50,0
3931,778,Brixton                       ,507,Angel                         ,164,43
3932,778,Brixton                       ,508,Archway                       ,60,19
3933,778,Brixton                       ,509,Arnos Grove                   ,30,0
3934,778,Brixton                       ,511,Baker Street                  ,212,33
3935,778,Brixton                       ,512,Balham                        ,66,32
3936,778,Brixton                       ,513,Bank / Monument               ,442,45
3937,778,Brixton                       ,501,Barbican                      ,82,0
3938,778,Brixton                       ,514,Barking                       ,0,7
3939,778,Brixton                       ,515,Barkingside                   ,0,7
3940,778,Brixton                       ,516,Barons Court                  ,118,0
3941,778,Brixton                       ,517,Bayswater                     ,10,9
3942,778,Brixton                       ,519,Belsize Park                  ,8,59
3943,778,Brixton                       ,787,Bermondsey                    ,34,17
3944,778,Brixton                       ,520,Bethnal Green                 ,57,23
3945,778,Brixton                       ,521,Blackfriars                   ,212,0
3946,778,Brixton                       ,522,Blackhorse Road               ,79,42
3947,778,Brixton                       ,524,Bond Street                   ,166,38
3948,778,Brixton                       ,525,Borough                       ,147,23
3950,778,Brixton                       ,527,Bounds Green                  ,1,0
3951,778,Brixton                       ,528,Bow Road                      ,1,0
3952,778,Brixton                       ,529,Brent Cross                   ,0,10
3953,778,Brixton                       ,530,Bromley-by-Bow                ,22,0
3954,778,Brixton                       ,532,Burnt Oak                     ,0,4
3955,778,Brixton                       ,534,Caledonian Road               ,65,0
3956,778,Brixton                       ,535,Camden Town                   ,250,60
3957,778,Brixton                       ,788,Canada Water                  ,39,51
3958,778,Brixton                       ,852,Canary Wharf                  ,363,29
3959,778,Brixton                       ,884,Canning Town                  ,18,2
3960,778,Brixton                       ,536,Cannon Street                 ,28,0
3961,778,Brixton                       ,540,Chalk Farm                    ,118,8
3962,778,Brixton                       ,541,Chancery Lane                 ,460,0
3963,778,Brixton                       ,718,Charing Cross                 ,79,51
3964,778,Brixton                       ,547,Clapham Common                ,1,13
3966,778,Brixton                       ,549,Clapham South                 ,1,22
