,Station,Latitude,Longitude
144,Crossharbour and London Arena,51.4958399792182,-0.0149328131018881
145,Crouch Hill,51.57132709751821,-0.11713328488972699
146,Croxley,51.647005280107,-0.44160379825288504
147,Crystal Palace,51.41817035156179,-0.0726072327605205
148,Custom House,51.5096220567499,0.0257725102639474
149,Cutty Sark for Maritime Greenwich,51.481944467916,-0.0105818667291609
150,Cyprus,51.50852658125,0.0638407558302055
151,Dagenham Dock,51.526287196845296,0.145031014043306
152,Dagenham East,51.5441873390151,0.165833431683368
153,Dagenham Heathway,51.541211790954705,0.14767972018313802
154,Dalston Junction,51.546093715652106,-0.0749942048209628
155,Dalston Kingsland,51.5486678182555,-0.0762269219509382
156,Debden,51.645492001721,0.0838014748371958
157,Denmark Hill,51.4682006393928,-0.0909878695789793
158,Deptford,51.47889008359321,-0.0261963195716051
159,Deptford Bridge,51.474476771881,-0.022052428800672996
160,Devons Road,51.5222584675869,-0.0180077541924364
161,Dollis Hill,51.551850590714395,-0.23879776168058803
162,Drayton Green,51.516004675342906,-0.32961125970796695
163,Drayton Park,51.553078306953495,-0.10577019974838901
164,Dundonald Road,51.41739814673021,-0.207527112702531
165,Ealing Broadway,51.514861974896405,-0.302010381444888
166,Ealing Common,51.5102486557265,-0.28715141790547805
167,Earls Court,51.4913566719448,-0.19431380928726502
168,Earlsfield,51.4422388073847,-0.187272688578691
169,East Acton,51.51626341426889,-0.24811222486180104
170,East Croydon,51.375716101925704,-0.0918634960219951
171,East Dulwich,51.4616255828228,-0.0804365715036241
172,East Finchley,51.5873325447116,-0.164743886020014
173,East Ham,51.5392461649047,0.0515162933203073
174,East India,51.5086840062894,-0.00237033154909731
175,East Putney,51.4588797835326,-0.210998234182405
176,Eastcote,51.576551823245,-0.39682329933106103
177,Eden Park,51.3907961029416,-0.0266697155532036
178,Edgware,51.6142296221626,-0.275093666466036
179,Edgware Road (Bakerloo),51.5206453612591,-0.17053955158627696
180,Edgware Road (Circle/District/Hammersmith and City),51.5199980431141,-0.16766825428113402
181,Edmonton Green,51.62511570259439,-0.0616390194516995
182,Elephant and Castle,51.495849382439204,-0.100738714840864
183,Elm Park,51.5491245841858,0.197252681986762
184,Elmers End,51.398291108624896,-0.0494638322785197
185,Elmstead Woods,51.4170806314648,0.0442293427243444
186,Elstree and Borehamwood,51.6528755760948,-0.27982861947405296
187,Eltham,51.455662220801294,0.052329307733168
188,Elverson Road,51.468372189945406,-0.016816376211146
189,Embankment,51.50731249477679,-0.12236733652715699
190,Emerson Park,51.569114908911295,0.220222934339532
191,Enfield Chase,51.6527221112153,-0.0907042054849836
192,Enfield Lock,51.6708461220463,-0.0283910701059887
193,Enfield Town,51.6519700723096,-0.0793299220890822
194,Epping,51.6936861661113,0.11382555274482599
195,Epsom Downs,51.3236594388377,-0.23897022678043106
196,Erith,51.4816476750127,0.174261289232435
197,Essex Road,51.5406333108504,-0.0963655258956236
198,Euston,51.52866433052879,-0.133296471846732
199,Euston Square,51.52866433052879,-0.133296471846732
200,Ewell East,51.345243876206204,-0.24150300137218803
201,Ewell West,51.3499911421544,-0.25708913304289
202,Fairlop,51.5961095431963,0.0905932794268205
203,Falconwood,51.459085796386205,0.0785096930122727
204,Farringdon,51.5201956882975,-0.10484306195035001
205,Feltham,51.44787917299129,-0.40982448095176505
206,Fenchurch Street,51.5115667058932,-0.0785541528077214
207,Fieldway,51.351317007255,-0.0245032653661046
208,Finchley Central,51.600903250521895,-0.193220636879031
209,Finchley Road,51.5470961986729,-0.180050560513333
210,Finchley Road and Frognal,51.550119498240996,-0.18365120265213697
211,Finsbury Park,51.5646354455769,-0.10588148617519001
212,Forest Gate,51.549316118809,0.0241890915067026
213,Forest Hill,51.43930831236939,-0.0533285044148391
214,Fulham Broadway,51.480260903539104,-0.19554416374798997
215,Fulwell,51.433942565399896,-0.349438524762415
216,Gallions Reach,51.5090341399984,0.0717753944216077
217,Gants Hill,51.5765529520727,0.0660840978012218
218,George Street,51.3739660568411,-0.0987181052186884
219,Gidea Park,51.58186574672871,0.20597698062300102
220,Gipsy Hill,51.424469522694,-0.0838351675167364
221,Gloucester Road,51.4944995577167,-0.18354355952647697
222,Golders Green,51.57221553323521,-0.194834559142163
223,Goldhawk Road,51.502076966571295,-0.227404006254784
224,Goodge Street,51.52061310945721,-0.13480769016588698
225,Goodmayes,51.56618098240521,0.11172965428727501
226,Gordon Hill,51.663502237466496,-0.0944732997864739
227,Gospel Oak,51.555405293199605,-0.151301032571058
228,Grange Hill,51.6134804256286,0.092272529661441
229,Grange Park,51.642623077247706,-0.0973144238034144
230,Gravel Hill,51.3545432553855,-0.0431216987549667
231,Great Portland Street,51.5237887958946,-0.14396142528077602
232,Green Park,51.506760484493896,-0.14247757559748198
233,Greenford,51.541980070868995,-0.34587874010203995
234,Greenwich,51.477547664237605,-0.0148630836142616
235,Grove Park,51.4304326436942,0.0225985021581947
236,Gunnersbury,51.4918634114529,-0.27516413582292604
237,Hackbridge,51.377860899564396,-0.153879198222095
238,Hackney Central,51.5472574449828,-0.0555895119781322
239,Hackney Downs,51.549078085173996,-0.0601851050631527
240,Hackney Wick,51.543558406496,-0.0252595028052464
241,Hadley Wood,51.66840287108211,-0.176581189644067
242,Haggerston,51.538684730179206,-0.0755952580882811
243,Hainault,51.6028453270268,0.0941085503026948
244,Hammersmith (District),51.49181977607929,-0.222860928771942
245,Hammersmith (Met.),51.4934833521202,-0.224640157433783
